SBankCode,BankTypeCode,BankName
,XSXQMXRCC,习水县农村信用合作联社
,JSYXRCB,江苏宜兴农村商业银行
,RGRCB,江苏如皋农村商业银行股份有限公司
,LANCRCC,六安农村商业银行
,HBXYRCC,湖北襄阳农村商业银行
,PSXIQBRCC,平山县农村信用联社
,HBNJRCB,河北宁晋农村商业银行股份有限公司
,VQTSNCSYTLG,鄂尔多斯农村商业银行
,WJRCB,苏州农村商业银行
,AHSZRCC,安徽宿州农村商业银行
,jsycrcb,江苏盐城农村商业银行
,HEBNCRCC,哈尔滨农村商业银行
,HNHYHZRCC,湖南衡阳衡州农村商业银行
,JLHCRCB,吉林环城农村商业银行
,HSBC,汇丰银行（中国）
,WHRCB,武汉农村商业银行
,YYXEMVRCC,阳原县农村信用联社
,CCFZNCB,长春发展农村商业银行股份有限公司
,JSHARCB,江苏海安农村商业银行
,SJZLQRCC,石家庄市鹿泉农村信用合作联社
,YYRCB,益阳农村商业银行股份有限公司
,BZRCC,滨州农村商业银行
,DYCB,长城华西银行
,SDHTRCC,山东桓台农村商业银行
,DZCBANK,达州市商业银行
,HNQYRCB,湖南祁阳农村商业银行股份有限公司
,AHDYRCC,安徽定远农村商业银行
,HNHDRCC,湖南衡东农村商业银行
,JSXHRCB,江苏兴化农村商业银行
,QHDBANK,秦皇岛银行
,ZPXODDRCC,漳浦县农村信用合作联社
,ZJLQTUQRCC,浙江乐清农村商业银行
,AHMASRCC,安徽马鞍山农村商业银行
,ZJFYRCC,浙江富阳农村商业银行
,HZRCC,菏泽农村商业银行
,CDSRCB,常德农村商业银行股份有限公司
,DTBDRCC,大同北都农村商业银行
,JQRCB,酒泉农村商业银行
,YTRCC,烟台农村商业银行
,HNLYRCB,湖南浏阳农村商业银行股份有限公司
,ZJTXRCC,浙江桐乡农村商业银行
,KZRTNCSYAQZ,湖北仙桃农村商业银行
,HBZDRCB,河北正定农村商业银行
,GRCB,广州农村商业银行
,SDLZRGKRCC,山东临淄农村商业银行
,DYNRCB,东营农村商业银行
,YSXZISRCC,元氏县农村信用联社
,YZNSHRCB,江苏扬州农村商业银行
,JSJDRCB,江苏江都农村商业银行
,NXRCU,宁夏黄河农村商业银行
,ZJZZNBGRCC,浙江嵊州农村商业银行
,AHZXCATRCC,安徽濉溪农村商业银行
,MFRCB,江苏民丰农村商业银行
,HBTMRCC,湖北天门农村商业银行
,LSXJEXRCC,灵寿县农村信用联社
,XNNSYHRCC,西宁农商银行
,HSBK,衡水市商业银行
,AHWWRCC,安徽无为农村商业银行
,GZLRCB,吉林公主岭农村商业银行股份有限公司
,DZBANK,德州银行
,AHHQRCC,安徽霍邱农村商业银行
,WNSLWQRCC,渭南市临渭区农村信用合作联社
,YQRCB,阳泉农村商业银行股份有限公司
,ZJNZRCC,浙江南浔农村商业银行
,QRCB,泉州农村商业银行
,RDRCB,江苏如东农村商业银行
,AXXESSRCC,安溪县农村信用合作联社
,HBSZYLDRCC,湖北随州农村商业银行
,ZZYDRCC,亳州药都农村商业银行
,LFSCJRCC,廊坊市城郊农村信用合作联社
,ZSDHHYRCC,浙江舟山定海海洋农村商业银行
,HNTSRCC,淮南通商农村商业银行
,GZBJRCB,贵州毕节农村商业银行
,KMGDRCC,昆明官渡农村合作银行
,NBFHRCC,宁波奉化农村商业银行
,FJAX,福建安溪农村商业银行股份有限公司
,YXDRQRCC,洋县农村信用合作联社
,SYSRCB,邵阳农村商业银行股份有限公司
,HBDMRCB,河北大名农村商业银行股份有限公司
,ZJSYRCC,浙江上虞农村商业银行
,ZJCNRCC,浙江苍南农村商业银行
,ZJWZZHRCC,浙江温州瓯海农村商业银行
,YANBRCB,延边农村商业银行
,PHXRCC,平和县农村信用合作联社
,NBBLRCC,宁波北仑农村商业银行
,HNWCRCC,海南文昌农村商业银行
,SXYXRCC,山西盂县农村商业银行
,GAXRCC,固安县农村信用合作联社
,AHLQRCC,安徽临泉农村商业银行
,YDXMKHRCC,永登县农村信用合作联社
,HBWCRCB,河北围场农村商业银行
,SNCCB,遂宁银行
,BDQYRCC,保定市清苑区农村信用联社
,SZSSCQRCC,山西省朔州市朔城区农村信用合作联社
,SXYCAOLRCC,山西运城农村商业银行
,LYGDFRCB,连云港东方农村商业银行
,GZXYRCB,贵州兴义农村商业银行
,YZBANK,银座村镇银行
,AHLJRCC,安徽庐江农村商业银行
,PZRCB,江苏邳州农村商业银行
,HBZZRCB,河北涿州农村商业银行
,AHFYRCC,安徽凤阳农村商业银行
,SYRCB,江苏射阳农村商业银行
,IWPXNCSYQZG,安徽歙县农村商业银行
,JSTXRCB,江苏泰兴农村商业银行
,YASRCC,永安市农村信用合作联社
,GHB,广东华兴银行
,AHWYRCC,安徽涡阳农村商业银行
,NBNHRCC,宁波宁海农村商业银行
,AHTCVDPRCC,安徽天长农村商业银行
,GZZYRCB,贵州遵义农村商业银行股份有限公司
,SXXXZYFRCC,陕西西乡农村商业银行
,SWSRCC,邵武市农村信用合作联社
,FJSSRCB,福建石狮农村商业银行
,QJCCB,曲靖市商业银行
,JSJYRCB,江苏姜堰农村商业银行
,HNHSRCC,湖南衡山农村商业银行
,CZJHRCC,池州九华农村商业银行
,JSDYRCB,江苏丹阳农村商业银行
,HZSHTQRCC,汉中市汉台区农村信用合作联社
,VQXZNCSYJFA,山东青州农村商业银行
,ZJZSPTRCC,浙江舟山普陀农村商业银行
,SHYRCB,江苏沭阳农村商业银行
,HBYTRCB,河北玉田农村商业银行股份有限公司
,SXXZRCC,山西忻州农村商业银行
,HBCZRCB,河北沧州农村商业银行
,SDXTRCC,山东新泰农村商业银行
,ZRCBANK,张家港农村商业银行
,SXNZRCC,陕西南郑农村商业银行
,AHMCRCC,安徽蒙城农村商业银行
,XCWNRCC,宣城皖南农村商业银行
,CTXQCKRCC,昌图县农村信用合作联社
,SDZZRCC,山东滕州农村商业银行
,AHSXRCC,安徽寿县农村商业银行
,HNSFRCB,湖南双峰农村商业银行股份有限公司
,PXJBARCC,盘县农村信用合作联社
,ZHSRCC,遵化市农村信用合作联社
,ZJYKRCC,浙江永康农村商业银行
